,Dialogue
509,"- Any muffins left?
"
510,"- Yeah, I forget which ones.
"
511,"You're busy, I'll get it.
"
512,"- Anyone else want one?
"
513,"- No, thanks.
"
514,"You're losing your apron.
"
515,"Let me get it.
"
516,"- There you go.
"
517,"- Thank you.
"
518,"What a bitch!
"
519,"I have a friend at
"
520,"Bloomingdale's who's quitting...
"
521,"...and he wants to abuse his discount.
"
522,"Anyone want to come
"
523,"take advantage of it?
"
524,"I have to take
"
525,"my grandmother to the vet.
"
526,"- I'll go with you.
"
527,"- Great.
"
528,"- Hi, honey.
"
529,"- Hey, sweetums.
"
530,"And hello to the rest.
"
531,"You can't go shopping with her.
"
532,"What about Rachel?
"
533,"Will it be a problem?
"
534,"You're going to
"
535,"Bloomingdale's with Julie.
"
536,"It's like cheating on Rachel
"
537,"in her house of worship.
"
538,"Monica, she will kill you.
"
539,"She will kill you
"
540,"like a dog in the street!
"
541,"So Jules tells me you guys
"
542,"are going shopping tomorrow.
"
543,"It's actually not that big a deal.
"
544,"It's a big deal to me.
"
545,"This is great.
"
546,"I really appreciate this.
"
547,"You're welcome.
"
548,"Bijan for men?
"
549,"Bijan for men?
"
550,"- Hey, Annabel.
"
551,"- Hey, Joey.
"
552,"Did you hear about the new guy?
"
553,"Nobody knows his name. Me and
"
554,"the girls call him ""The Hombre Man.""
"
555,"Hombre?
"
556,"What's he doing in my section?
"
557,"I guess he doesn't know.
"
558,"Well, he's gonna.
"
559,"I'll see you a little later, okay?
"
560,"Hey, how you doing?
"
561,"Mornin'.
"
562,"Listen, I know you're new...
"
563,"...but it's understood
"
564,"that everything...
"
565,"...from young men's to
"
566,"the escalator is my territory.
"
567,"""Your territory""?
"
568,"- Bijan for men?
"
569,"- No, thanks.
"
570,"Hombre?
"
571,"Yeah, all right.
"
572,"You were saying?
"
573,"Phoebe, listen. You were with me,
"
574,"and we were shopping all day.
"
575,"We shopped and we had lunch.
"
576,"What did I have?
"
577,"- You had a salad.
"
578,"- No wonder I don't feel full.
"
579,"Hi. What's up?
"
580,"I went shopping with Monica
"
581,"and I had a salad.
"
582,"Good, Pheebs.
"
583,"What'd you buy?
"
584,"We went shopping for...
"
585,"For...
"
586,"For fur.
"
587,"You went shopping for fur?
"
588,"And then I realized
"
589,"that I'm against that.
"
590,"So then we bought some...
"
591,"Boobs.
"
592,"You bought boobs?
"
593,"Bras!
"
594,"We bought bras!
"
595,"We bought bras.
"
596,"Bijan for men?
"
597,"Bijan for men?
"
598,"Bijan for...
"
599,"Hey, Annabel.
"
600,"I was wondering if after work
"
601,"we could grab a cup of coffee?
"
602,"Actually, I sort of have plans.
"
603,"You ready, Annabel?
"
604,"You bet.
"
605,"Maybe some other time.
"
606,"It's not the first time I lost a girl
"
607,"to a cowboy spraying cologne.
"
608,"Bijan for men?
"
609,"Bijan for men!
"
610,"And this is Funny Clown.
"
611,"It's only for after his naps,
"
612,"not before, or he won't sleep.
"
613,"We've been through this before.
"
614,"We have a good time.
"
615,"We laugh, we play.
"
616,"It's like we're father and son.
"
617,"Honey, relax.
"
618,"Ross is great with him.
"
619,"Don't look so surprised.
"
620,"I'm a lovely person.
"
621,"This is so cute!
"
622,"I got that for him!
"
623,"""My Mommies Love Me.""
"
624,"That's clever.
"
625,"Oh, hi, Jul...
"
626,"Hi, Jew!
"
627,"Okay, sure.
"
628,"That'd be great.
"
629,"See you then. Bye.
"
630,"Did you just say, ""Hi, Jew""?
"
631,"Yes, I did.
"
632,"That was my friend Eddie Moskowitz.
"
633,"Yeah, he likes it.
"
634,"Reaffirms his faith.
"
635,"Ben, dinner!
"
636,"Thanks, Aunt Pheebs.
"
637,"Did you microwave that?
"
638,"You can't do that to breast milk.
"
639,"I think I know
"
640,"how to heat breast milk.
"
641,"What did you just do?
"
642,"I licked my arm, what?
"
643,"It's breast milk!
"
644,"So?
"
645,"Phoebe, that is juice
"
646,"squeezed from a person.
"
647,"What is the big deal?
"
648,"What did you just do?
"
649,"Can people stop
"
650,"drinking the breast milk?
"
651,"You won't even taste it?
"
652,"Not even if you just
"
653,"pretend it's milk?
"
654,"Not even if Carol's breast had
"
655,"a picture of a missing child on it.
"
656,"- Where is everybody?
"
657,"- At the park. Where have you been?
"
658,"Just out.
"
659,"Had some lunch. Just me.
"
660,"A little quality time with me.
"
661,"- Thanks for your jacket.
"
662,"- No problem.
"
663,"You can borrow it, by the way.
"
664,"Here are your keys, honey.
"
665,"If you were at lunch alone,
"
666,"how come it cost you $53?
"
667,"You know what probably happened?
"
668,"Someone stole my credit card.
"
669,"And put the receipt
"
670,"back in your pocket?
"
671,"That is an excellent,
"
672,"excellent question.
"
673,"That is excellent.
"
674,"What's with you?
"
675,"Who did you have lunch with?
"
676,"- Judy.
"
677,"- Who?
"
678,"- Julie.
"
679,"- What?
"
680,"Jody.
"
681,"You were with Julie?
"
682,"When it started, I was just
"
683,"trying to be nice to her...
"
684,"...because she was
"
685,"my brother's girlfriend.
"
686,"And then one thing
"
687,"led to another...
"
688,"...and before I knew it, we were...
"
689,"...shopping.
"
690,"Oh, my God!
"
691,"Wait, we only did it once.
"
692,"It didn't meant anything to me!
"
693,"Rachal, I was thinking
"
694,"of you the whole time.
"
695,"Look, I'm sorry, all right?
"
696,"I never meant for you to find out.
"
697,"Oh, please! Please!
"
698,"You wanted to get caught!
"
699,"That is not true!
"
700,"So you just happened
"
701,"to leave it in here?
"
702,"Did it ever occur to you
"
703,"that I might just be that stupid?
"
704,"Okay, I just have to know one thing.
"
705,"Did you go with her to Bloomingdale's?
"
706,"Okay, I just really need
"
707,"to not be with you right now.
"
708,"Hi, who's this?
"
709,"Hi, Joanne. Is Rachel working?
"
710,"It's Monica.
"
711,"Yes, I know I did a horrible thing.
"
712,"Joanne, it's not
"
713,"as simple as all that.
"
714,"No, I don't care what Steve thinks.
"
715,"Hi, Steve.
"
716,"How did we do?
"
717,"I tasted Ben's milk
"
718,"and Ross freaked out.
"
719,"I did not freak out.
"
720,"- Why'd you freak out?
"
721,"- Because it's breast milk.
"
722,"It's gross!
"
723,"My breast milk is gross?
"
724,"This should be fun.
"
725,"There's nothing wrong with it.
"
726,"I just don't think
"
727,"breast milk is for adults.
"
728,"Of course, the packaging does
"
729,"appeal to grownups and kids.
"
730,"Don't be silly. I've tried it.
"
731,"It's no big deal.
"
732,"Just taste it.
"
733,"That would be no.
"
734,"- Come on.
"
735,"- Try it.
"
736,"It's natural.
"
737,"It doesn't taste bad.
"
738,"Yeah, it tastes kind of sweet.
"
739,"Sort of like...
"
740,"Like what?
"
741,"Cantaloupe juice.
"
742,"Exactly.
"
743,"You've tasted it.
"
744,"You've tasted it.
"
745,"Oh, you've tasted it.
"
746,"You can keep saying it,
"
747,"but it won't stop being true.
"
748,"Give me the bottle.
"
749,"Get me the towel.
"
750,"Howdy.
"
751,"Give me a box of juice.
"
752,"Well, they switched me over to Hombre.
"
753,"Maybe it's because of
"
754,"the way you're dressed.
"
755,"Or this guy's doing so good
"
756,"they want to put more people on it.
"
757,"This guy goes through
"
758,"two bottles a day now.
"
759,"What do you care?
"
760,"You're an actor.
"
761,"This is your day job. It's nothing!
"
762,"I know, but I was the best.
"
763,"You know? I liked being the best.
"
764,"Maybe I should get
"
765,"out of the game.
"
766,"They need guys up in housewares
"
767,"to serve cheese.
"
768,"Say you do that.
"
769,"Sooner or later, somebody will come
"
770,"along that slices a better cheddar.
"
771,"Then where you gonna run?
"
772,"You're right.
"
773,"I say you show him what you're made of.
"
774,"Stand your ground.
"
775,"Show him that you're the baddest
"
776,"Hombre west of the lingerie!
"
777,"- I'm gonna do it!
"
778,"- All right!
"
779,"Now, go see Miss Kitty and
"
780,"she'll fix you up with a nice hooker.
"
781,"I don't know what to say.
"
782,"That's good because I'm not listening.
"
783,"I feel terrible. I really do.
"
784,"I'm sorry.
"
785,"Did my back hurt your knife?
"
786,"Say that I'm friends with her.
"
787,"Is that so terrible?
"
788,"- It's that terrible?
"
789,"- You don't get it!
"
790,"It's bad enough
"
791,"she stole the guy...
"
792,"...who may be the person
"
793,"I'm supposed to be with.
"
794,"But now...
"
795,"...she's actually...
"
796,"But now she's actually stealing you!
"
797,"What are you talking about?
"
798,"Nobody could steal me from you.
"
